"utterance","intent"
"How can I reset my password","login_credentials"
"I forgot my login credentials like my username and password.","login_credentials"
"Help! I can't log in.","login_credentials"
"I'm having trouble logging in.","login_credentials"
"Is there a way to recover my account if I forgot my username and password?","login_credentials"
"I can't remember my password.","login_credentials"
"I need to reset my login information.","login_credentials"
"I think my account might be locked.","login_credentials"
"My username isn't working anymore.","login_credentials"
"Can you help me get back into my account? I forgot my password.","login_credentials"
"What should I do if I can't access my account?","login_credentials"
"I'm locked out of my account and can't log in. How do I regain access?","login_credentials"
"I've been locked out of my account and can't log in. How do I reset my password?","login_credentials"
"I've forgotten my password. How can I recover it?","login_credentials"
"How do I change my password if I can't remember it?","login_credentials"
"What steps should I take to reset my login details like my username and password?","login_credentials"
"I can't access to my profile and need to reset my password. Can you guide me through the process?","login_credentials"
"I'm locked out and unable to sign in. What's the procedure for password recovery?","login_credentials"
"My account seems to be disabled. What can I do to re-enable it?","login_credentials"
"How do I recover my account if I've forgotten my login credentials?","login_credentials"
"I forgot my username and password.","login_credentials"
"I seem to have forgotten my login credentials. I can't remember my username and password. How can I retrieve it?","login_credentials"
"I can't seem to remember my password. Is there a way to reset it?","login_credentials"
"Help! I've forgotten both my username and password. What should I do?","login_credentials"
"I'm having trouble logging in. Is there a way to recover my account?","login_credentials"
"Where can I find []?","navigation"
"How do I search for [] in my []?","navigation"
"I can't find the [] section on your website.","navigation"
"Do you have a direct link to your [] category page?","navigation"
"I'm looking for []. Can you share the link?","navigation"
"Could you provide the link to the [] section?","navigation"
"Where is the section for [] category?","navigation"
"Where do I find []. Could you send me a link?","navigation"
"Can you help me find the popular sale items?","navigation"
"Provide me a link to your most popular products.","navigation"
"Can you provide the link to the []?","navigation"
"I want to share a link to the [] with my friend. Where can I find it?","navigation"
"Where can I get the direct link for the []?","navigation"
"Do you have a link to the []?","navigation"
"I'm interested in the []. Could you send me the link?","navigation"
"How can I find the page for the []?","navigation"
"Can you provide the link to the []?","navigation"
"Where can I find the direct link for the []?","navigation"
"I'm looking for the link to the []. Can you assist?","navigation"
"Could you direct me to the page where I can browse your most popular []?","navigation"
"Do you have the link for the []?","navigation"
"I'm interested in browsing your selection of []. Can you share the link?","navigation"
"Can you provide a link to the section featuring []?","navigation"
"Can you direct me to the page for []?","navigation"
"I'm searching for []. Can you help me find it by providing the link to that category?","navigation"
"Can I change my saved address?","account_management"
"How do I update my email preferences and billing address?","account_management"
"How do I delete my account?","account_management"
"Can I change my notification preferences and unsubscribe from your newsletter?","account_management"
"Where do I adjust my profile settings like my email address?","account_management"
"Where can I see on my profile my past purchases? I mean viewing my order history.","account_management"
"I'd like to view my order history.","account_management"
"Can you show me what I ordered last time, my history of past purchases?","account_management"
"I need to change the email address on my account.","account_management"
"How do I update my saved phone number?","account_management"
"Is it possible to update my billing information?","account_management"
"How can I change my personal information like my email address, phone number and profile picture?","account_management"
"Where can I access my account settings to update my profile information?","account_management"
"Where can I find my saved addresses, my billing address?","account_management"
"I want to unsubscribe from your newsletter. How do I do that?","account_management"
"Can I set up two-factor authentication for my account?","account_management"
"How do I change my profile picture?","account_management"
"Is there a way to delete my account?","account_management"
"Where can I find my privacy and security settings? I want to set up two-factor authentication for my account.","account_management"
"Where can I see my past purchases more specifically my purchase history on my profile?","account_management"
"Where can I see what I ordered last time on my account? I mean my past history of purchases.","account_management"
"I want to change my privacy settings.","account_management"
"I am done with this site. I want to delete my account now!","account_management"
"Deleting my account now! Worst customer service ever!","account_management"
"I would like to delete my account but can't find the option. Is it under my profile settings?","account_management"
"How much does shipping cost?","shipping_info"
"Do you offer free shipping?","shipping_info"
"Do you ship to []?","shipping_info"
"How long does shipping usually take?","shipping_info"
"When can I expect my order to arrive?","shipping_info"
"Do you offer expedited shipping options?","shipping_info"
"Are there extra fees for shipping to []?","shipping_info"
"Do you ship internationally?","shipping_info"
"What are your shipping methods?","shipping_info"
"Do you offer shipping insurance?","shipping_info"
"How much will it cost to ship a package to country []?","shipping_info"
"What are the shipping charges for international orders?","shipping_info"
"Do you offer free shipping for purchases over a certain amount?","shipping_info"
"Could you provide an estimate of the shipping fees for expedited delivery?","shipping_info"
"What countries do you ship to? Can you clarify the shipping rates for international orders?","shipping_info"
"Do shipping costs vary based on the size or weight of the package?","shipping_info"
"Do you ship internationally worldwide to other countries?","shipping_info"
"Do you deliver overseas?","shipping_info"
"Could you provide an estimate of the shipping fees for expedited delivery?","shipping_info"
"I'm curious about the shipping expenses. Can you break down the costs for me?","shipping_info"
"How much your overseas delivery cost?","shipping_info"
"Can you provide information about your international shipping rates?","shipping_info"
"How much does shipping usually cost for orders within the country?","shipping_info"
"Do you offer free shipping for orders over a certain amount?","shipping_info"
"Are there any additional charges for expedited shipping?","shipping_info"
"Can you add this [] to my cart?","add_cart"
"Add [] to my shopping cart.","add_cart"
"Please put that [] in my cart.","add_cart"
"Could you add [] to my cart for me?","add_cart"
"Could you include that [] in my cart?","add_cart"
"Can I get that [] added to my cart?","add_cart"
"I'd like to add that [] to my shopping basket.","add_cart"
"Can you put this in my cart for me?","add_cart"
"Can I get that [] added to my cart?","add_cart"
"Include that in my shopping cart.","add_cart"
"Add these [] to my cart, please.","add_cart"
"Could you add the [] to my shopping cart?","add_cart"
"Please add the [] to my cart.","add_cart"
"Put the [] in my shopping basket.","add_cart"
"Can you include the [] in my cart?","add_cart"
"I want to add the [] to my shopping cart.","add_cart"
"Add the [] to my cart, please.","add_cart"
"Could you put [] in my shopping cart?","add_cart"
"Please add the [] to my cart.","add_cart"
"Can you include the [] in my shopping basket?","add_cart"
"I want to buy this skirt. Can you add it to my cart?","add_cart"
"I'd like to purchase this []. Can you add it to my cart?","add_cart"
"Put these [] to my shopping cart, please.","add_cart"
"Could you include [] in my shopping cart?","add_cart"
"Include the [] in my cart as well.","add_cart"
"Can you check my order status?","order_status"
"What's the status of my order?","order_status"
"Where is my order at in the process? What is the latest update?","order_status"
"Any updates on my order? I can't wait to receive it!","order_status"
"Can you check the status of order with order number []?","order_status"
"Has my order been processed yet?","order_status"
"Is my order out for delivery?","order_status"
"Can you tell me if my order has been shipped yet?","order_status"
"I'm wondering about the status of my recent purchase. Has my order been processed yet?","order_status"
"Is my order on its way to me, or is it still being prepared? Track my order.","order_status"
"I want to track my recent order.","order_status"
"Do you have an update on my package?","order_status"
"What is the update on my recent purchase?","order_status"
"Can you check my order status?","order_status"
"Could you please tell me if my order has been sent?","order_status"
"I'm wondering when I might expect my package.","order_status"
"Is my order shipped?","order_status"
"Has my order been dispatched yet? Please update me.","order_status"
"Could you provide an update on my order, please?","order_status"
"Can you let me know if my order has left the warehouse?","order_status"
"Could you track my order? Is it en route yet?","order_status"
"What is the latest update on my recent purchase? Is it still processing?","order_status"
"I'm curious about the status of my recent order. Can you provide an update?","order_status"
"Is there any way to track my package and see where it currently is?","order_status"
"I'm eager to know if my package is on its way. Can you give me an update?","order_status"
"What is the procedure for returning an item?","returns"
"Are there any conditions for returning products?","returns"
"Can you tell me about your return policy?","returns"
"How does your return process work?","returns"
"What are your rules for returning items?","returns"
"Do you accept returns?","returns"
"What is your return policy?","returns"
"I need some help with returns on my last order.","returns"
"I received my order, but it's not what I expected. Can I return it?","returns"
"The item I bought doesn't fit me well. Can I send it back?","returns"
"I'd like to initiate a return for the item I purchased and send it back.","returns"
"I changed my mind about this item. How do I return it?","returns"
"I no longer want this product. Can I send it back for a refund?","returns"
"I don't like how this looks on me. Is it possible to send it back and return it?","returns"
"Is it possible to return this item?","returns"
"What are the conditions for making a return?","returns"
"Can I return an item if I've changed my mind about it?","returns"
"I want to return a product. What's the process?","returns"
"What do I need to do to return an item?","returns"
"I am writing to request a return for a product that I purchased from your online store.","returns"
"I received my order, but I'd like to return it. How can I proceed?","returns"
"I've decided to return the item. How long does it take to receive a refund?","returns"
"I'd like to initiate a return for [] I ordered last week. How do I go about returning them?","returns"
"What is the process for returning items purchased online?","returns"
"Do you accept returns for used products?","returns"
"I'd like to request a refund for my recent purchase. How do I go about doing that?","refunds"
"I've changed my mind about my recent purchase. Can I get a refund? Please help my cancel my order","refunds"
"I'm not satisfied with my recent purchase. Can I get my money back?","refunds"
"I need a refund on my order ASAP. There's been an issue.","refunds"
"This is frustrating. I've changed my mind and want my money back. Refund pls.","refunds"
"Is it too late to cancel get a refund for my order?","refunds"
"This item is a total fail. Can I get my money back through a refund?","refunds"
"Something's wrong with my order. I need a refund.","refunds"
"I need a refund immediately. Can you expedite the process?","refunds"
"Do you allow refunds for items on sale?","refunds"
"Give me my money back! refund","refunds"
"I regret my purchase. Can I cancel it and get a refund?","refunds"
"How long does it take to process a refund?","refunds"
"I want to cancel my order. Will I receive a refund?","refunds"
"I'd like to cancel my order and request a refund please.","refunds"
"I want to cancel my order. Can I get a refund?","refunds"
"My order arrived late. Can I get a refund for the inconvenience?","refunds"
"If I cancel my order, will I get a refund, my money back?","refunds"
"Can I cancel my recent purchase and receive a refund?","refunds"
"I accidentally ordered the wrong item. Can I get a refund and reorder?","refunds"
"I have cancelled my order. When can I expect to get a refund?","refunds"
"I'd like to cancel my order and request a refund.","refunds"
"I accidentally made a duplicate order. Can I cancel one and get a refund?","refunds"
"I changed my mind about the purchase. Can I still get a refund?","refunds"
"If my order is still processing, I'd like to cancel my order and request a refund please","refunds"
"Do you sell this [] in color []?","stock_info"
"Do you have any [] available in different sizes and colors?","stock_info"
"Are [] in stock and available?","stock_info"
"Do you sell []? Is it currently available?","stock_info"
"I am looking for []. Do you have it right now available? Is it in stock?","stock_info"
"Are there any [] in your inventory available?","stock_info"
"Can I buy []? Is it available?","stock_info"
"Are you currently selling []?","stock_info"
"Do you carry multiple of this item available in color [] and size []? Is it in stock?","stock_info"
"Is the [] sold out? Not available anymore?","stock_info"
"Do you expect to get more of [] available soon?","stock_info"
"Could you please check if this item comes available in a different size and color?","stock_info"
"Do you carry this style of []?","stock_info"
"Do you have any []-sized sweaters available? I'm open to different colors.","stock_info"
"Are you out of stock on the []?","stock_info"
"I'm interested in a []. Do you have anything like that available in stock?","stock_info"
"Could you check if you have any [] left in stock?","stock_info"
"Do you carry [] in a waist size []?","stock_info"
"I'm looking for []. Do you have any options available, like different colors and sizes in your inventory?","stock_info"
"I'm wondering if you have any [] available","stock_info"
"Do you expect to get more of [] available soon?","stock_info"
"Has [] been sold out? Please notify me when it's back in stock and available","stock_info"
"Is [] back in stock? Notify me when it's available again please.","stock_info"
"Do you currently have [] in [] size and [] color in stock and available?","stock_info"
"Is [] in stock and available in size [] and [] color in your inventory?","stock_info"
"There's a problem with the contents of my delivery. It is incomplete.","package_issues"
"My order arrived, but it's incomplete.","package_issues"
"My package arrived damaged.","package_issues"
"My package is incomplete. One of the items in my order is missing.","package_issues"
"I received the wrong item in my package.","package_issues"
"I'm not satisfied with the condition of my delivery.","package_issues"
"The item I received is broken.","package_issues"
"This is really disappointing. There's a stain on the item I ordered.","package_issues"
"I received two of the same item instead of what I ordered.","package_issues"
"This is unacceptable! My order is completely wrong.","package_issues"
"I'm really disappointed with the condition of my package.","package_issues"
"There seems to be an issue with my order. Can you help?","package_issues"
"Something's not right with my delivery. It is incomplete and missing.","package_issues"
"I received my package, but there is an issue. It seems to be damaged.","package_issues"
"My delivery arrived, but there's a problem with one of the items. It is damaged.","package_issues"
"There's a defect with one of the products in my order.","package_issues"
"I'm missing an item from my shipment.","package_issues"
"There's a tear in the packaging of my order.","package_issues"
"One of the items I received doesn't match what I ordered.","package_issues"
"I got the wrong size in one of the items I ordered.","package_issues"
"My order is completely wrong, it is missing an item","package_issues"
"There's a problem with the packaging of my delivery. It seems to have been mishandled during transit.","package_issues"
"The item I received is damaged. Can I get a refund or a replacement?","package_issues"
"My order arrived, but it looks like it's incomplete, missing some pieces. How can we resolve this issue?","package_issues"
"There's a tear in the packaging of the item I received. Can you assist me with a replacement or refund?","package_issues"
"What is the height of the Eiffel Tower?","i_dont_know"
"Do you know math? I need help with my math homework.","i_dont_know"
"Where is the Eiffel Tower?","i_dont_know"
"I'm stuck on this math equation. Do you know math?","i_dont_know"
"Can you tell me a joke?","i_dont_know"
"Do you believe in ghosts?","i_dont_know"
"What's the capital of []? When was the Eiffel Tower built?","i_dont_know"
"Can you sing me a song?","i_dont_know"
"What's the best way to cook spaghetti? Which food do you like more, hamburgers, pizza or spaghetti?","i_dont_know"
"Do you think aliens exist?","i_dont_know"
"Can you solve this math problem for my homework? Just joking.","i_dont_know"
"What is your favorite food?. I cant't decide between pizza or hamburgers.","i_dont_know"
"How many stars are in the Milky Way?","i_dont_know"
"If aliens landed on Earth, would they be interested in our mathematical theories and capital cities or our foods like pizza or hamburgers or our songs?","i_dont_know"
"What's your favorite color?","i_dont_know"
"Do you dream of distant stars?","i_dont_know"
"What's the best pizza topping?","i_dont_know"
"Have you watched any movies about ghosts and aliens?","i_dont_know"
"What is your favorite song and color?","i_dont_know"
"My favorite color is blue. What about yours?","i_dont_know"
"Aliens among us! Wake up people! Just joking.","i_dont_know"
"What is your favorite movie and tv series? You watched Star Trek?","i_dont_know"
"What is the closest star to earth other than the sun?","i_dont_know"
"Any movies you could recommend? Here is one from me: Star Wars.","i_dont_know"
"Do you dream of electric sheep?","i_dont_know"
"What's the meaning of life?","meaning_of_life"
"Can you tell me the existential meaning of life, why I'm here?","meaning_of_life"
"Do you have any existential advice?","meaning_of_life"
"Do you know the answer to life, the universe, and everything?","meaning_of_life"
"Why do we exist, what is the meaning of life?","meaning_of_life"
"What's the secret to a meaningful life?","meaning_of_life"
"What's the significance of life?","meaning_of_life"
"What is the purpose of existence?","meaning_of_life"
"Can you tell me the meaning of life?","meaning_of_life"
"Tell me the answer to life, the universe and everything.","meaning_of_life"
"What's the point of it all? Why do we even bother with anything?","meaning_of_life"
"Why do humans even exist?","meaning_of_life"
"Can you enlighten me about life's purpose?","meaning_of_life"
"What's the big picture? The essence of everything, the existential meaning?","meaning_of_life"
"Is there a deeper meaning to existence?","meaning_of_life"
"Can you shed some light on life's ultimate goal?","meaning_of_life"
"Why do we bother with anything?","meaning_of_life"
"What's the ultimate truth behind our existence?","meaning_of_life"
"Is there a reason for all this chaos?","meaning_of_life"
"Can you help me understand the essence of being, the essence of life?","meaning_of_life"
"What is the essence of life, universe and everything?","meaning_of_life"
"I am having an existential crisis.","meaning_of_life"
"What is the point of existence","meaning_of_life"
"Why are we here? What's the ultimate purpose of our existence?","meaning_of_life"
"Can you shed some light on the meaning of life? It's a question that's been on my mind lately.","meaning_of_life"