index,sku,name,size,color,stock_quantity,price,image_filename
0,10001,t-shirt,m,black,15,$19.99,tshirt_black
1,10002,t-shirt,l,black,0,$19.99,tshirt_black
2,10003,t-shirt,s,blue,5,$24.99,tshirt_blue
3,10004,t-shirt,m,red,2,$24.99,tshirt_red
4,10005,t-shirt,xl,white,8,$19.99,tshirt_white
5,10006,dress,s,blue,5,$24.99,dress_blue
6,10007,dress,m,red,2,$24.99,dress_red
7,10008,dress,l,black,4,$24.99,dress_black
8,10009,dress,s,green,3,$24.99,dress_green
9,10010,dress,m,floral,1,$29.99,dress_floral
10,10011,hat,l,brown,8,$14.99,hat_brown
11,10012,hat,m,black,5,$14.99,hat_black
12,10013,hat,s,gray,2,$14.99,hat_gray
13,10014,jeans,w32,blue,0,$39.99,jeans_blue
14,10015,jeans,w30,black,7,$39.99,jeans_black
15,10016,jeans,w34,gray,5,$39.99,jeans_gray
16,10017,jeans,w36,indigo,3,$39.99,jeans_indigo
17,10018,sweater,m,white,2,$29.99,sweater_white
18,10019,sweater,l,blue,1,$29.99,sweater_blue
19,10020,sweater,s,green,4,$29.99,sweater_green
20,10021,sweater,xl,red,6,$29.99,sweater_red
21,10022,shirt,l,white,10,$14.99,shirt_white
22,10023,shirt,m,blue,5,$14.99,shirt_blue
23,10024,shirt,s,red,8,$14.99,shirt_red
24,10025,shirt,xl,black,2,$14.99Can,shirt_black
26,10027,skirt,s,red,7,$19.99,skirt_red
28,10029,skirt,l,black,2,$19.99,skirt_black
29,10030,skirt,s,denim,5,$19.99,skirt_denim
31,10032,shorts,s,gray,12,$14.99,shorts_gray
32,10033,shorts,m,khaki,9,$14.99,shorts_khaki
33,10034,shorts,l,black,7,$14.99,shorts_black
34,10035,shorts,xl,green,5,$14.99,shorts_green
35,10036,shorts,s,denim,3,$14.99,shorts_denim
36,10037,pants,w30,gray,5,$29.99,pants_gray
37,10038,pants,w32,gray,8,$29.99,pants_gray